yr,month,skj_bkk,skj_thai,yft_thai
2011,sep,1975,2272.242017,2537.251643
2011,oct,1830,1911.429597,2488.377076
2011,nov,1910,1957.414029,2390.790668
2011,dec,2005,1868.27589,2352.048956
2012,jan,2030,1880.790954,2350.07823
2012,feb,1930,2004.960601,2320.19958
2012,mar,2090,2016.731707,2337.49281
2012,apr,2195,2014.140468,2330.236223
2012,may,2198,2060.246666,2361.903114
2012,jun,2200,2100.514206,2439.996365
2012,jul,2240,2162.661154,2510.29412
2012,aug,2280,2215.452228,2469.181898
2012,sep,2350,2263.325148,2569.424246
2012,oct,2210,2252.369017,2617.018442
2012,nov,1900,2229.623411,2607.220648
2012,dec,1900,2182.489077,2380.480634
2013,jan,2075,2164.767574,2373.127641
2013,feb,2195,2085.968767,2285.041824
2013,mar,2325,2108.09492,2419.479276
2013,apr,2320,2175.475202,2471.826655
2013,may,2195,2228.103322,2388.468103
2013,jun,2020,2148.470018,2389.558598
2013,jul,1850,2109.292414,2324.282171
2013,aug,1880,2004.544734,2263.967684
2013,sep,1875,1901.051867,2125.546854
2013,oct,1770,1910.944134,2188.642722
2013,nov,1570,1851.95055,2182.364471
2013,dec,1400,1728.522858,1988.065827
2014,jan,1275,1562.36218,1968.717292
2014,feb,1225,1441.490124,1922.46599
2014,mar,1175,1307.184997,1799.219265
2014,apr,1225,1241.930179,1655.737467
2014,may,1485,1227.552779,1504.55226
2014,jun,1710,1263.152534,1626.705382
2014,jul,1800,1451.673282,1794.917284
2014,aug,1600,1600.857605,1996.299809
2014,sep,1280,1719.860844,2026.521013
2014,oct,1200,1689.007217,1918.210328
2014,nov,1180,1466.374729,1731.284917
2014,dec,1180,1331.502234,1682.966813
2015,jan,1150,1280.98502,1623.158009
2015,feb,1150,1208.501643,1643.060334
2015,mar,1010,1162.966678,1638.286632
2015,apr,1035,1107.985702,1648.304969
2015,may,1070,1039.776713,1421.692012
2015,jun,1200,1018.081757,1405.687852
2015,jul,1400,1064.432418,1458.118323
2015,aug,1500,1120.848015,1642.88908
2015,sep,1390,1293.358847,1524.07855
2015,oct,1140,1471.589448,1704.277836
2015,nov,1000,1362.764227,1605.678246
2015,dec,1000,1298.981628,1536.770005
2016,jan,1000,1127.491174,1460.733572
2016,feb,1170,1099.096436,1447.2074
2016,mar,1600,1185.233834,1424.689632
2016,apr,1610,1494.16773,1737.427653
2016,may,1500,1508.395052,1711.394905
2016,jun,1400,1621.20247,1738.643217
2016,jul,1400,1617.760496,1827.399957
2016,aug,1450,1496.818716,1736.363271
2016,sep,1450,1476.841373,1774.697222
2016,oct,1400,1500.045777,1760.273068
2016,nov,1500,1471.09131,1688.828779
2016,dec,1625,1472.968397,1073.306176
2017,jan,1700,1649.810777,1718.831093
2017,feb,1700,1265.243725,1877.37965
2017,mar,1500,1708.888794,1901.702062
2017,apr,1690,1692.960108,1895.414153
2017,may,1700,1639.723651,1762.844658
2017,jun,1900,1703.498356,1914.762023
2017,jul,1950,1823.495367,2076.966751
2017,aug,1980,1944.574385,2155.398799
2017,sep,2100,1935.483929,2199.112075
2017,oct,2300,2031.87883,2307.331076
2017,nov,2000,2183.009967,2480.291723
2017,dec,1800,2188.8579,2468.509791
2018,jan,1550,2074.527917,2303.870679
2018,feb,1480,1855.28169,2130.000017
2018,mar,1700,1648.362575,1977.29967
2018,apr,1800,1584.624848,1700.066672
2018,may,1600,1560.127827,1785.672891
2018,jun,1600,1633.678263,1896.030893
2018,jul,1300,1620.415642,1879.273345
2018,aug,1450,1561.637979,1996.321469
2018,sep,1650,1558.462617,1864.971327
2018,oct,1525,1590.767875,1925.787225
2018,nov,1400,1578.481552,2058.664855
2018,dec,1300,1540.925393,1913.704028
2019,jan,1280,1515.48205,1891.902424
2019,feb,1480,1410.555585,1885.388979
2019,mar,1600,1360.240502,2011.003902
2019,apr,1450,1419.718654,1982.724643
2019,may,1200,1462.49698,1873.071273
2019,jun,1000,1483.728087,1918.403861
2019,jul,1200,1410.576126,1861.875229
2019,aug,1350,1394.555928,1975.12983
2019,sep,1100,1338.633627,1914.592363
2019,oct,900,1299.457375,1802.128871
2019,nov,900,1342.60436,1833.311972
2019,dec,1050,1228.171451,1680.163069
2020,jan,1350,1084.497711,1634.559735
2020,feb,1475,1213.612073,1661.020935
2020,mar,1500,1297.477693,1566.092703
2020,apr,1400,1358.550196,1578.25777
2020,may,1200,1533.83141,1752.521355
2020,jun,1200,1493.367559,1751.61473
2020,jul,1550,1430.026559,1755.830301
2020,aug,1625,1410.485489,1701.519363
2020,sep,1325,1236.054815,1711.625627
2020,oct,1300,1506.060247,1709.582351
2020,nov,1400,1507.662197,1758.935915
2020,dec,1300,1360.631148,1647.954484
2021,jan,1200,1365.570032,1704.98014
2021,feb,1300,1352.119306,1596.898262
2021,mar,1350,1284.877145,1739.25808
2021,apr,1340,1322.088958,1571.535162
2021,may,1280,1373.33792,1623.884634
2021,jun,1350,1404.726268,1728.44499
2021,jul,1500,1333.968138,1554.785101
2021,aug,1400,1409.254119,1886.703753
2021,sep,1300,1466.999927,1964.995989
2021,oct,1500,1447.182026,1961.756616
2021,nov,1600,1485.32043,1970.100864
2021,dec,1750,1469.996951,1907.489794
2022,jan,1600,1566.871262,2184.992283
2022,feb,1650,1699.646794,2041.458442
2022,mar,1900,1601.462633,1977.672486
2022,apr,1800,1546.199791,1977.304436
2022,may,1600,1745.502408,1984.559682
2022,jun,1425,1666.988172,1935.985476
2022,jul,1600,1523.540179,1902.675111
2022,aug,1800,1578.961802,1891.412012
2022,sep,1600,1609.63704,2002.247015
2022,oct,1580,1669.879568,2067.946582
2022,nov,1700,1714.356164,2178.979595
2022,dec,1700,1746.131599,2283.028862
2023,jan,1680,1300.579402,2051.79377
2023,feb,1800,1747.755772,2031.570008
2023,mar,1980,1640.567903,1945.895847
